semantic_id	family	statement_short	source_pr	source_head_sha	source_path	source_claim_id	primary_review_verdict	cross_review_verdict	coverage_status	final_verdict	quantifier_scope	proof_kind	required_fix	first_broken_arrow	rh_relationship	supersedes	superseded_by	computation_status	canonicalization_recommendation	reconciliation_reason	notes
RH	terminal	Riemann Hypothesis.	0	0000000000000000000000000000000000000000	review/2026-08-22/reconciliation/INTEGRATION_READY.md	RH	A/B:UNPROVED	A×B:UNPROVED	C:UNPROVED	OPEN_RH_EQUIVALENT	global	terminal		No reviewed-only path reaches this terminal.	terminal			NOT_APPLICABLE	STATUS_ONLY	All five review objects agree RH remains unproved.
DIRECTMAIN.CJ.LOCAL_IDENTITIES	direct_main_cauchy_jordan	The direct-main Cauchy/Jordan series contains exact positive-source, scattering, finite-jet, rational-storage, Hardy-factor, and compound-Poisson identities.	MAIN	677203992eb0168920365ee45ae9db76bfa97dcf	claims/lemmas/L-91014-generalized-jordan-cocycle-divisor-isometry.md|claims/lemmas/L-91019-positive-anchor-second-jet-anova-closure.md|claims/lemmas/L-91022-sixteenfold-cauchy-detail-storage-and-three-square-residual.md|claims/lemmas/L-91029-positive-jordan-channel-is-a-compound-poisson-prime-semigroup.md	L-91014/L-91019/L-91022/L-91029	B-DIRECT-MAIN:VERIFIED_WITH_FIXES	N/A	PR717:reviewed at dad61b954dd8404520631058d1ce717e7a910a3b	VERIFIED_WITH_FIXES	safe lines and finite carrier packets	standalone operator/source identities	Pin domains, meromorphic exceptions, and one Fourier/Hardy orientation.	No completed coefficient-one source-to-boundary domination follows.	standalone operator mathematics			See FINAL_COMPUTATIONS.tsv; no heavy rerun	CANONICALIZE_WITH_FIXES	Reviewer B direct-main audit partitions the complete 85-commit range and supplies the controlling later reviews.
DIRECTMAIN.CJ.T91005	direct_main_cauchy_jordan	The coefficient-one normalized sixteenfold Cauchy recurrence for every carrier and scale is an exact RH-equivalent criterion.	MAIN	677203992eb0168920365ee45ae9db76bfa97dcf	claims/theorems/T-91005-normalized-sixteenfold-cauchy-recurrence-is-rh-equivalent.md	T-91005	B-DIRECT-MAIN:OPEN_RH_EQUIVALENT	N/A	PR717:reviewed at dad61b954dd8404520631058d1ce717e7a910a3b	OPEN_RH_EQUIVALENT	all carriers and positive scales	fixed scalar criterion	Pin resident dependencies and conventions.	The recurrence residual sign is itself unproved.	RH-equivalent criterion			See FINAL_COMPUTATIONS.tsv; no heavy rerun	REGISTER_OPEN_EQUIVALENCE	Reviewer B direct-main audit partitions the complete 85-commit range and supplies the controlling later reviews.
OPEN.DIRECTMAIN.CJHI	direct_main_cauchy_jordan	A lossless completed Cauchy–Jordan first-chaos source-to-Hardy intertwiner would close the direct-main operator route.	MAIN	677203992eb0168920365ee45ae9db76bfa97dcf	claims/theorems/T-91006-cauchy-jordan-hardy-intertwiner-full-rh-proposal.md	CJHI/T-91006	B-DIRECT-MAIN:OPEN_RH_EQUIVALENT	N/A	PR717:reviewed at dad61b954dd8404520631058d1ce717e7a910a3b	OPEN_RH_EQUIVALENT	all scales and finite carrier families	open source-to-boundary theorem	Use PR #400 first-chaos/model-space formulation and preserve all cross terms.	CJHI is not constructed.	open RH-equivalent interface			See FINAL_COMPUTATIONS.tsv; no heavy rerun	ARCHIVE_WRAPPER_REGISTER_GATE	Reviewer B direct-main audit partitions the complete 85-commit range and supplies the controlling later reviews.
DIRECTMAIN.P79.SPLIT_IDENTITIES	direct_main_p79	The exact P79 one-prime Euler row, target, score, and first-moment split identities survive after removing false sign and typing conclusions.	MAIN	677203992eb0168920365ee45ae9db76bfa97dcf	claims/lemmas/L-91351-p79-one-prime-splice-is-a-terminal-child-plus-positive-arithmetic-row.md	L-91351.2-.8	B-DIRECT-MAIN:VERIFIED_WITH_FIXES	N/A	PR717:reviewed at dad61b954dd8404520631058d1ce717e7a910a3b	VERIFIED_WITH_FIXES	finite one-prime P79 rows	signed arithmetic identities	Delete the false uniform surplus and positive typed-splice claims.	Source-labelled branch homogeneity and noninherited rows are open.	standalone local algebra			See FINAL_COMPUTATIONS.tsv; no heavy rerun	CANONICALIZE_LOCAL	Reviewer B direct-main audit partitions the complete 85-commit range and supplies the controlling later reviews.
DIRECTMAIN.P79.L91355	direct_main_p79	Constant-mode first-hazard weights give an exact nonduplicating packet identity with total canonical child coefficient below 1/8.	MAIN	677203992eb0168920365ee45ae9db76bfa97dcf	claims/lemmas/L-91355-constant-mode-hazard-weights-give-a-nonduplicating-causal-packet-budget.md	L-91355	B-DIRECT-MAIN:VERIFIED_WITH_FIXES	N/A	PR717:reviewed at dad61b954dd8404520631058d1ce717e7a910a3b	VERIFIED_WITH_FIXES	finite ordered rough-prime lists	source-ledger theorem	State packet-typing hypotheses explicitly.	Survival and residual packets are not proved native-positive.	standalone source accounting			See FINAL_COMPUTATIONS.tsv; no heavy rerun	CANONICALIZE_LOCAL	Reviewer B direct-main audit partitions the complete 85-commit range and supplies the controlling later reviews.
DIRECTMAIN.P79.L91350	direct_main_p79	The claimed corrected finite P79 Hall formula/checker is false as a causal certificate.	MAIN	677203992eb0168920365ee45ae9db76bfa97dcf	claims/lemmas/L-91350-p79-low-prefix-hall-corrected-cell-derivative-certificate.md	L-91350	B-DIRECT-MAIN:FALSE	N/A	PR717:reviewed at dad61b954dd8404520631058d1ce717e7a910a3b	FALSE	declared finite P79 Hall range	false proof/certificate	Exclude the checker and use later causal replacements only at retained scope.	The formula drops parent support cutoffs and omits activation cells.	refuted source theorem			See FINAL_COMPUTATIONS.tsv; no heavy rerun	EXCLUDE	Reviewer B direct-main audit partitions the complete 85-commit range and supplies the controlling later reviews.
DIRECTMAIN.P79.SCORE_SURPLUS	direct_main_p79	The claimed uniform positive residual score surplus is false already at x=83.	MAIN	677203992eb0168920365ee45ae9db76bfa97dcf	claims/lemmas/L-91351-p79-one-prime-splice-is-a-terminal-child-plus-positive-arithmetic-row.md	L-91351.10-.11	B-DIRECT-MAIN:FALSE	N/A	PR717:reviewed at dad61b954dd8404520631058d1ce717e7a910a3b	FALSE	all real x>=83 as claimed	false scalar inequality	Retain only the exact score-minus-target identity.	A_P(83)<0.	refuted supporting inequality			See FINAL_COMPUTATIONS.tsv; no heavy rerun	EXCLUDE	Reviewer B direct-main audit partitions the complete 85-commit range and supplies the controlling later reviews.
DIRECTMAIN.P79.T91303	direct_main_p79	The original P79 target-flow factor-54 full proposal is blocked by the invalid finite-cell proof and missing arithmetic-row typing.	MAIN	677203992eb0168920365ee45ae9db76bfa97dcf	claims/theorems/T-91303-p79-target-flow-factor54-resolution-proposal.md	T-91303	B-DIRECT-MAIN:GAP_BLOCKED	N/A	PR717:reviewed at dad61b954dd8404520631058d1ce717e7a910a3b	GAP_BLOCKED	global recursion	historical full-proof wrapper	Archive and retain only conditional scalar Hall-flow algebra.	Target-exact Hall does not reproduce the native row.	purported RH proof not established			See FINAL_COMPUTATIONS.tsv; no heavy rerun	ARCHIVE_FULL_PROPOSAL	Reviewer B direct-main audit partitions the complete 85-commit range and supplies the controlling later reviews.
DIRECTMAIN.P79.T91304	direct_main_p79	The direct Euler-row factor-54 full proposal remains gap-blocked after exact P79 corrections.	MAIN	677203992eb0168920365ee45ae9db76bfa97dcf	claims/theorems/T-91304-direct-euler-row-factor54-resolution-proposal.md	T-91304	B-DIRECT-MAIN:GAP_BLOCKED	N/A	PR717:reviewed at dad61b954dd8404520631058d1ce717e7a910a3b	GAP_BLOCKED	global least-prime recursion	historical full-proof wrapper	Archive; retain exact split identities and refutations.	False Hall formula, false surplus, hidden-child mismatch, undefined branch weights, and missing provenance.	purported RH proof not established			See FINAL_COMPUTATIONS.tsv; no heavy rerun	ARCHIVE_FULL_PROPOSAL	Reviewer B direct-main audit partitions the complete 85-commit range and supplies the controlling later reviews.
DIRECTMAIN.MELLIN.L96000	direct_main_mellin	Every fixed component row has an explicit reciprocal-zeta Mellin transform.	MAIN	677203992eb0168920365ee45ae9db76bfa97dcf	claims/lemmas/L-96000-fixed-row-mellin-transform-of-the-full-mobius-spline.md	L-96000	B-DIRECT-MAIN:VERIFIED_WITH_FIXES	N/A	PR717:reviewed at dad61b954dd8404520631058d1ce717e7a910a3b	VERIFIED_WITH_FIXES	fixed j>=2; initial half-plane then continuation	analytic consumer theorem	Separate convergence, continuation, and producer positivity.	The transform supplies no row sign.	analytic predecessor to canonical consumer			See FINAL_COMPUTATIONS.tsv; no heavy rerun	CANONICALIZE_CONSUMER	Reviewer B direct-main audit partitions the complete 85-commit range and supplies the controlling later reviews.
DIRECTMAIN.MELLIN.L96001	direct_main_mellin	At any open-strip zero every sufficiently large row numerator is nonzero.	MAIN	677203992eb0168920365ee45ae9db76bfa97dcf	claims/lemmas/L-96001-the-row-kernels-cannot-cancel-an-open-strip-zero.md	L-96001	B-DIRECT-MAIN:VERIFIED_WITH_FIXES	N/A	PR717:reviewed at dad61b954dd8404520631058d1ce717e7a910a3b	VERIFIED_WITH_FIXES	each zero; all sufficiently large fixed rows	analytic noncancellation	State the all-row producer quantifier; prefer fixed rows 2,3 or fixed 5:3 canonically.	The producer must supply the entire fixed family before the zero is chosen.	analytic predecessor			See FINAL_COMPUTATIONS.tsv; no heavy rerun	CANONICALIZE_OR_SUPERSEDE	Reviewer B direct-main audit partitions the complete 85-commit range and supplies the controlling later reviews.
OPEN.DIRECTMAIN.MELLIN.ALL_ROWS	direct_main_mellin	Simultaneous global native positivity of every prime-sieved component row is the open producer premise in T-96000.	MAIN	677203992eb0168920365ee45ae9db76bfa97dcf	claims/theorems/T-96000-prime-sieved-row-positivity-directly-implies-rh.md	T-96000 producer premise	B-DIRECT-MAIN:OPEN_SUFFICIENT_FOR_RH	N/A	PR717:reviewed at dad61b954dd8404520631058d1ce717e7a910a3b	OPEN_SUFFICIENT_FOR_RH	all j>=2 and all X>=1	open native producer	Do not infer this from PR #537 FRONTIER-CHAIN.	The global one-use prime-sieve transport is unproved.	open sufficient producer			See FINAL_COMPUTATIONS.tsv; no heavy rerun	REGISTER_OPEN_GATE	Reviewer B direct-main audit partitions the complete 85-commit range and supplies the controlling later reviews.
DIRECTMAIN.MELLIN.T96000	direct_main_mellin	T-96000 is a correct conditional architecture but not a proof because its simultaneous native row producer is absent.	MAIN	677203992eb0168920365ee45ae9db76bfa97dcf	claims/theorems/T-96000-prime-sieved-row-positivity-directly-implies-rh.md	T-96000	B-DIRECT-MAIN:GAP_BLOCKED	N/A	PR717:reviewed at dad61b954dd8404520631058d1ce717e7a910a3b	GAP_BLOCKED	all rows and scales	historical proof wrapper	Extract L-96000/L-96001 only.	PR #544 rejects the producer transport.	open sufficient route, not established			See FINAL_COMPUTATIONS.tsv; no heavy rerun	ARCHIVE_WRAPPER_EXTRACT_CONSUMER	Reviewer B direct-main audit partitions the complete 85-commit range and supplies the controlling later reviews.
DIRECTMAIN.TAYLOR.L99930	direct_main_taylor	Activation-zero native powers are globally positive for every real m>=2.	MAIN	677203992eb0168920365ee45ae9db76bfa97dcf	claims/lemmas/L-99930-activation-zero-supercritical-positivity.md	L-99930	B-DIRECT-MAIN:VERIFIED_WITH_FIXES	N/A	PR717:reviewed at dad61b954dd8404520631058d1ce717e7a910a3b	VERIFIED_WITH_FIXES	X>=1; real m>=2	unconditional Euler theorem	Keep activation-zero and ordinary SHARP objects distinct.	No descent to m=1.	strong standalone theorem			See FINAL_COMPUTATIONS.tsv; no heavy rerun	CANONICALIZE_OR_MARK_SUBSUMED	Reviewer B direct-main audit partitions the complete 85-commit range and supplies the controlling later reviews.
DIRECTMAIN.TAYLOR.L99931	direct_main_taylor	Every Euler–Taylor remainder with effective prime exponent at least 3/2 is positive.	MAIN	677203992eb0168920365ee45ae9db76bfa97dcf	claims/lemmas/L-99931-euler-taylor-positive-remainder-ladder.md	L-99931	B-DIRECT-MAIN:VERIFIED_WITH_FIXES	N/A	PR717:reviewed at dad61b954dd8404520631058d1ce717e7a910a3b	VERIFIED_WITH_FIXES	integer m>=3; 1<=k<=m-2	unconditional Euler theorem	State absolute convergence and labelled-67 multiplicity.	The next prime-harmonic layer is uncontrolled.	standalone theorem			See FINAL_COMPUTATIONS.tsv; no heavy rerun	CANONICALIZE_STANDALONE	Reviewer B direct-main audit partitions the complete 85-commit range and supplies the controlling later reviews.
DIRECTMAIN.TAYLOR.L99932_KERNEL	direct_main_taylor	The first uncontrolled Taylor remainder is an explicit positive kernel whose native Möbius projection has a zero-safe reciprocal-zeta Mellin transform.	MAIN	677203992eb0168920365ee45ae9db76bfa97dcf	claims/lemmas/L-99932-critical-renormalized-kernel-and-zero-safe-consumer.md	L-99932.1-.6	B-DIRECT-MAIN:VERIFIED_WITH_FIXES	N/A	PR717:reviewed at dad61b954dd8404520631058d1ce717e7a910a3b	VERIFIED_WITH_FIXES	one fixed m>=2	analytic reduction	Pin the reviewed Mellin–Landau hypotheses.	Kernel positivity does not orient the signed Möbius projection.	analytic consumer component			See FINAL_COMPUTATIONS.tsv; no heavy rerun	CANONICALIZE_CONSUMER	Reviewer B direct-main audit partitions the complete 85-commit range and supplies the controlling later reviews.
OPEN.DIRECTMAIN.TAYLOR_CRITICAL	direct_main_taylor	Subpower negative mass or the critical upper-envelope estimate for the fixed Taylor scalar is the remaining RH-equivalent theorem.	MAIN	677203992eb0168920365ee45ae9db76bfa97dcf	claims/lemmas/L-99932-critical-renormalized-kernel-and-zero-safe-consumer.md	L-99932.7-.9	B-DIRECT-MAIN:OPEN_RH_EQUIVALENT	N/A	PR717:reviewed at dad61b954dd8404520631058d1ce717e7a910a3b	OPEN_RH_EQUIVALENT	one fixed m>=2 over all large scales	open signed estimate	Keep it explicit as an open premise.	The critical signed projection is uncontrolled.	open RH-equivalent criterion			See FINAL_COMPUTATIONS.tsv; no heavy rerun	REGISTER_OPEN_EQUIVALENCE	Reviewer B direct-main audit partitions the complete 85-commit range and supplies the controlling later reviews.
DIRECTMAIN.TAYLOR.R99930	direct_main_taylor	Supercritical positivity and positive smoothing do not cross the critical carrier.	MAIN	677203992eb0168920365ee45ae9db76bfa97dcf	claims/refutations/R-99930-supercritical-positivity-does-not-cross-the-critical-carrier.md	R-99930	B-DIRECT-MAIN:REFUTED_MECHANISM	N/A	PR717:reviewed at dad61b954dd8404520631058d1ce717e7a910a3b	REFUTED_MECHANISM	critical prime-harmonic boundary	mechanism firewall		The proposed automatic descent is false.	canonical no-go			See FINAL_COMPUTATIONS.tsv; no heavy rerun	CANONICALIZE_REFUTATION	Reviewer B direct-main audit partitions the complete 85-commit range and supplies the controlling later reviews.
DIRECTMAIN.TAYLOR.T99930	direct_main_taylor	T-99930 validly synthesizes the supercritical ladder and fixed zero-safe critical consumer, while leaving the critical estimate open.	MAIN	677203992eb0168920365ee45ae9db76bfa97dcf	claims/theorems/T-99930-critical-taylor-renormalization-frontier.md	T-99930	B-DIRECT-MAIN:CONDITIONAL_EXACT	N/A	PR717:reviewed at dad61b954dd8404520631058d1ce717e7a910a3b	CONDITIONAL_EXACT	one fixed m>=2	synthesis plus open criterion	Split unconditional results from the open terminal estimate.	The final negative-mass/envelope theorem is RH-equivalent.	conditional synthesis; no proof			See FINAL_COMPUTATIONS.tsv; no heavy rerun	CANONICALIZE_RESULTS_ARCHIVE_FRONTIER	Reviewer B direct-main audit partitions the complete 85-commit range and supplies the controlling later reviews.
